Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
17.52,-0.015873491,,
17.54,-0.015884996,,
17.56,-0.015873491,,
17.58,-0.01588653,,
17.6,-0.015862907,,
17.62,-0.015874872,,
17.64,-0.015858458,,
17.66,-0.015868276,,
17.68,-0.015852016,,
17.7,-0.015853396,,
17.72,-0.015856004,,
17.74,-0.015831614,,
17.76,-0.015833301,,
17.78,-0.015844959,,
17.8,-0.01588745,,
17.82,-0.015858305,,
17.84,-0.01583054,,
17.86,-0.015883768,,
17.88,-0.015875792,,
17.9,-0.015852169,,
17.92,-0.015860452,,
17.94,-0.015894353,,
17.96,-0.015870116,,
17.98,-0.015839591,,
18,-0.015847107,,
18.02,-0.015881621,,
18.04,-0.015882235,,
18.06,-0.015852016,,
18.08,-0.015858305,,
18.1,-0.015851709,,
18.12,-0.015850635,,
18.14,-0.015843579,,
18.16,-0.015855084,,
18.18,-0.015857691,,
18.2,-0.01585493,,
18.22,-0.015842352,,
18.24,-0.015841585,,
18.26,-0.015855697,,
18.28,-0.01588791,,
18.3,-0.015880854,,
18.32,-0.015876712,,
18.34,-0.015862753,,
18.36,-0.015885609,,
18.38,-0.01587073,,
18.4,-0.015855697,,
18.42,-0.015869503,,
18.44,-0.015856004,,
18.46,-0.015841738,,
18.48,-0.015829313,,
18.5,-0.015845266,,
18.52,-0.015844192,,
18.54,-0.01584542,,
18.56,-0.015857231,,
18.58,-0.015862907,,
18.6,-0.015860299,,
18.62,-0.015864134,,
18.64,-0.015873031,,
18.66,-0.015867662,,
18.68,-0.015899261,,
18.7,-0.015866435,,
18.72,-0.015846033,,
18.74,-0.015875639,,
18.76,-0.015866588,,
18.78,-0.015852936,,
18.8,-0.015837136,,
18.82,-0.015867662,,
18.84,-0.01585493,,
18.86,-0.01582962,,
18.88,-0.015857384,,
18.9,-0.015863827,,
18.92,-0.0158468,,
18.94,-0.015842965,,
18.96,-0.015859072,,
18.98,-0.015871497,,
19,-0.015868429,,
19.02,-0.015859685,,
19.04,-0.015872724,,
19.06,-0.015876252,,
19.08,-0.015869349,,
19.1,-0.015878093,,
19.12,-0.015873338,,
19.14,-0.015876405,,
19.16,-0.015858305,,
19.18,-0.015845266,,
19.2,-0.015847721,,
19.22,-0.015857078,,
19.24,-0.015858305,,
19.26,-0.015831614,,
19.28,-0.015826859,,
19.3,-0.015848948,,
19.32,-0.015841585,,
19.34,-0.015876866,,
19.36,-0.015860146,,
19.38,-0.015868889,,
19.4,-0.015892052,,
19.42,-0.015875639,,
19.44,-0.015877172,,
19.46,-0.015881314,,
19.48,-0.015869196,,
19.5,-0.015874565,,
19.52,-0.015864441,,
19.54,-0.015840511,,
19.56,-0.015837903,,
19.58,-0.015836216,,
19.6,-0.015846493,,
19.62,-0.015852629,,
19.64,-0.015853243,,
19.66,-0.015829927,,
19.68,-0.015831154,,
19.7,-0.015879934,,
19.72,-0.015884075,,
19.74,-0.015877172,,
19.76,-0.015853243,,
19.78,-0.015849868,,
19.8,-0.015900642,,
19.82,-0.015884535,,
19.84,-0.015861526,,
19.86,-0.015854163,,
19.88,-0.015857998,,
19.9,-0.015871957,,
19.92,-0.015863674,,
19.94,-0.015839284,,
19.96,-0.015850788,,
19.98,-0.015843579,,
20,-0.015852936,,
20.02,-0.015843272,,
20.04,-0.015842812,,
20.06,-0.015841125,,
20.08,-0.015858765,,
20.1,-0.015869809,,
20.12,-0.01587027,,
20.14,-0.015874565,,
